user_id,age,gender,location,category,preferred_brand,color_preference,size,season,festival,purchase_amount,purchase_frequency,avg_order_value,last_purchase_days,browsing_time,product_views,wishlist_items,discount_used,coupon_usage_rate,price_sensitivity,loyalty_score
1,56,Male,Chennai,Jacket,Levis,Beige,M,Summer,Diwali,286.58,2,154.62,37,12,18,1,Yes,0.2,Low,88.39
2,46,Female,Hyderabad,Jeans,Nike,Beige,XL,Spring,Diwali,248.65,8,297.76,112,19,1,8,No,0.55,High,0.52
3,32,Female,Mumbai,Jacket,H&M,Red,S,Autumn,Christmas,203.44,3,212.26,14,25,4,4,No,0.77,High,93.36
4,25,Female,Mumbai,Shirt,Nike,Green,M,Winter,Diwali,250.84,8,255.58,27,5,16,8,No,0.9,High,51.15
5,38,Female,Delhi,Jacket,Nike,Beige,XL,Summer,Eid,155.97,3,136.16,83,34,16,7,Yes,0.79,High,70.07
6,56,Male,Kolkata,Dress,H&M,Black,M,Spring,None,65.67,1,235.0,31,39,18,5,Yes,0.2,Medium,85.56
7,36,Male,Chennai,Hoodie,Adidas,Black,L,Winter,Diwali,239.7,3,31.34,110,10,8,0,No,0.6,High,46.71
8,40,Female,Mumbai,Jeans,Adidas,Beige,M,Autumn,Holi,193.14,5,54.42,73,7,10,9,Yes,0.33,Medium,83.5
9,28,Male,Delhi,Dress,Zara,White,S,Autumn,NewYear,230.99,5,76.86,102,37,16,4,No,0.01,High,17.76
10,28,Male,Hyderabad,Jacket,Zara,Green,M,Winter,NewYear,131.54,4,132.55,81,15,23,0,No,0.2,Low,15.92
11,41,Male,Bangalore,Shirt,Adidas,Black,S,Autumn,NewYear,319.27,0,256.81,83,24,24,6,Yes,0.11,High,65.75
12,53,Female,Chennai,Shoes,Levis,Beige,L,Summer,Eid,213.83,2,116.95,44,26,11,9,Yes,0.84,High,87.01
13,57,Female,Mumbai,T-shirt,Uniqlo,Black,S,Summer,Holi,48.18,4,203.29,68,26,6,7,Yes,0.26,Low,89.24
14,41,Female,Kolkata,Hoodie,Nike,Beige,M,Summer,Eid,168.44,5,218.61,48,26,1,7,Yes,0.28,Low,64.37
15,20,Male,Delhi,T-shirt,Uniqlo,Green,XL,Autumn,Diwali,269.6,0,184.13,57,10,12,6,No,0.96,High,52.55
16,39,Female,Mumbai,Jacket,Nike,Beige,L,Summer,None,282.06,8,120.03,75,17,6,1,No,0.38,High,33.14
17,19,Female,Kolkata,Hoodie,Adidas,Red,M,Spring,NewYear,183.22,2,181.57,22,14,13,4,Yes,0.01,Medium,98.0
18,41,Male,Mumbai,Hoodie,Zara,Beige,L,Summer,Holi,315.27,9,115.83,4,2,17,3,Yes,0.28,Low,31.97
19,47,Female,Chennai,Shirt,Levis,Beige,L,Summer,NewYear,108.33,2,43.48,81,13,1,4,Yes,0.12,Low,74.42
20,55,Female,Chennai,Hoodie,Zara,Green,M,Autumn,Eid,155.5,1,297.99,72,27,8,9,Yes,0.1,Medium,53.2
21,19,Male,Chennai,Jeans,Uniqlo,Beige,M,Summer,Christmas,316.54,7,55.61,46,9,22,8,No,0.08,High,60.85
22,38,Male,Hyderabad,Dress,Zara,Green,XL,Winter,Diwali,315.76,2,40.26,59,7,8,3,No,0.59,High,39.35
23,50,Male,Hyderabad,Dress,Adidas,Red,L,Spring,None,246.29,5,265.99,34,10,24,7,No,0.19,Low,96.48
24,29,Female,Delhi,Dress,Levis,Green,L,Autumn,Diwali,303.46,1,104.51,11,9,11,7,No,0.36,Medium,57.17
25,39,Female,Chennai,Jeans,Uniqlo,Black,M,Spring,Christmas,49.3,6,202.08,31,22,14,1,No,0.86,High,93.78
26,42,Female,Kolkata,T-shirt,Levis,Green,S,Winter,None,305.45,3,112.12,11,23,24,5,No,0.42,Low,0.76
27,44,Male,Mumbai,Shirt,Nike,Red,M,Autumn,Christmas,125.8,8,129.61,118,7,10,4,No,0.92,High,57.27
28,59,Male,Bangalore,Hoodie,Zara,Blue,L,Autumn,Diwali,78.85,9,93.39,56,9,15,1,Yes,0.5,High,71.72
29,45,Female,Kolkata,Jeans,Levis,Beige,M,Summer,Eid,98.99,8,116.05,38,27,7,9,No,0.4,High,74.51
30,33,Female,Hyderabad,Dress,H&M,Green,XL,Spring,Diwali,157.93,6,135.0,117,24,7,3,Yes,0.75,Low,90.5
31,32,Male,Hyderabad,Jacket,Zara,Beige,S,Winter,Diwali,102.89,7,221.72,21,29,10,6,Yes,0.07,Medium,0.44
32,20,Male,Kolkata,Shoes,Nike,White,M,Winter,Diwali,125.79,2,163.23,110,17,4,0,Yes,0.09,Medium,0.03
33,54,Male,Hyderabad,Hoodie,Levis,Black,XL,Autumn,Holi,64.54,4,284.2,94,20,18,8,No,0.65,High,47.23
34,24,Male,Chennai,Jeans,Uniqlo,Black,L,Summer,Christmas,117.74,1,31.73,10,7,10,9,No,0.49,Medium,2.93
35,38,Female,Delhi,Jeans,Nike,White,M,Autumn,Christmas,208.85,9,160.86,26,7,19,0,No,0.79,High,97.45
36,26,Male,Mumbai,Shirt,H&M,White,L,Autumn,NewYear,165.81,6,183.58,91,28,14,4,No,0.92,Low,22.21
37,56,Female,Delhi,Shirt,Levis,Green,XL,Autumn,Christmas,134.42,7,277.66,8,19,13,6,Yes,0.39,Low,47.27
38,35,Female,Mumbai,Jeans,Adidas,White,L,Autumn,NewYear,266.33,8,33.76,103,20,15,7,No,0.6,Low,6.11
39,21,Female,Mumbai,Dress,Zara,Blue,XL,Winter,Holi,314.86,6,180.58,8,39,16,1,Yes,0.5,High,52.2
40,42,Male,Delhi,Shoes,Uniqlo,Beige,XL,Winter,Eid,269.74,9,259.02,60,7,2,3,No,0.98,Medium,38.0
41,31,Male,Kolkata,Hoodie,Adidas,Beige,XL,Autumn,NewYear,129.56,9,87.74,72,6,4,1,No,0.83,Low,4.47
42,26,Male,Mumbai,Shirt,Levis,Red,M,Autumn,Diwali,265.67,7,265.36,119,25,21,3,Yes,0.91,High,33.51
43,43,Male,Delhi,Hoodie,Levis,White,L,Summer,Eid,70.15,8,25.33,34,13,18,5,Yes,0.25,Medium,39.14
44,19,Female,Mumbai,Dress,Nike,White,L,Autumn,Holi,63.0,5,225.09,16,39,17,5,Yes,0.77,Medium,98.99
45,37,Male,Bangalore,Hoodie,Levis,Blue,S,Winter,Christmas,134.06,9,281.27,105,22,10,1,No,0.27,Medium,20.79
46,45,Male,Kolkata,Jacket,Uniqlo,Black,S,Spring,NewYear,286.54,1,204.02,13,17,21,3,No,0.21,High,54.48
47,24,Female,Chennai,Shirt,Adidas,Black,S,Winter,Diwali,101.29,1,142.93,87,22,9,3,Yes,0.94,High,98.73
48,25,Male,Mumbai,Dress,Uniqlo,Beige,S,Summer,None,40.87,3,32.57,76,34,15,0,No,0.02,High,79.2
49,52,Female,Bangalore,Dress,H&M,Beige,L,Winter,None,63.46,8,277.63,91,8,12,1,Yes,0.97,Low,99.34
50,31,Female,Chennai,Shoes,H&M,Green,XL,Spring,Eid,303.39,6,151.68,22,18,21,2,No,0.15,High,96.83
51,34,Female,Chennai,Shoes,Zara,Blue,XL,Autumn,Christmas,229.15,1,28.12,96,24,9,4,Yes,0.82,Low,48.95
52,53,Female,Mumbai,Jacket,Zara,Red,M,Spring,None,103.56,7,213.15,113,2,14,7,Yes,0.28,Low,69.64
53,57,Female,Delhi,Dress,H&M,Red,XL,Autumn,Eid,203.25,6,154.91,27,2,13,5,No,0.35,Low,11.04
54,21,Female,Mumbai,T-shirt,Levis,Blue,L,Autumn,Holi,194.1,8,54.82,64,27,6,2,Yes,0.22,High,44.11
55,19,Female,Bangalore,Dress,Uniqlo,Red,L,Winter,Eid,236.29,7,80.0,2,14,19,5,No,0.59,Low,80.9
56,23,Female,Chennai,Shoes,H&M,Black,L,Winter,Eid,96.95,2,38.06,109,39,4,6,No,0.35,High,50.53
57,59,Male,Mumbai,T-shirt,Zara,Red,M,Winter,Eid,305.25,0,180.8,97,12,20,5,Yes,0.66,High,70.27
58,21,Male,Delhi,Shirt,H&M,Red,S,Summer,Diwali,122.09,1,194.17,26,32,17,9,Yes,0.02,Low,74.58
59,46,Male,Mumbai,Shirt,Levis,Blue,XL,Winter,Eid,249.06,1,161.61,92,28,19,5,No,0.06,Low,25.35
60,35,Male,Kolkata,Hoodie,H&M,Blue,L,Summer,NewYear,25.32,3,248.79,83,28,3,0,No,0.1,Low,87.57
61,43,Female,Delhi,Jeans,Uniqlo,Red,L,Winter,Eid,142.98,5,261.08,107,25,14,2,Yes,0.42,High,45.98
62,51,Male,Bangalore,Shoes,Adidas,White,S,Autumn,Diwali,136.06,3,192.37,69,4,17,6,Yes,0.81,High,21.02
63,27,Female,Chennai,Jeans,Levis,Blue,L,Summer,Diwali,199.35,8,23.57,97,26,13,3,Yes,0.89,Low,86.54
64,53,Male,Mumbai,T-shirt,Zara,Green,XL,Spring,Holi,44.0,3,214.66,84,36,9,3,No,0.24,Low,41.78
65,31,Male,Delhi,Shoes,Uniqlo,Green,M,Summer,Christmas,280.74,5,137.04,30,3,1,6,No,0.57,Medium,75.03
66,48,Male,Kolkata,Jacket,H&M,Black,L,Summer,None,91.87,5,178.36,109,1,17,8,No,0.77,Low,54.8
67,32,Female,Delhi,Dress,H&M,Red,XL,Spring,None,243.42,9,201.74,8,17,16,1,Yes,0.29,Medium,38.19
68,25,Male,Hyderabad,Jacket,Adidas,White,L,Summer,Eid,285.06,9,118.07,38,7,18,8,Yes,0.41,Medium,80.99
69,31,Female,Kolkata,T-shirt,Zara,Black,S,Autumn,Holi,205.42,0,276.79,61,5,2,2,No,0.52,High,58.45
70,40,Female,Bangalore,Shoes,Zara,Red,L,Winter,Eid,264.49,7,57.51,81,19,14,5,No,0.13,High,39.06
71,57,Male,Chennai,T-shirt,Nike,Blue,L,Spring,None,238.41,2,208.02,108,39,22,3,Yes,0.03,Medium,10.96
